family,variant,operation,provider,score_us,error_us,unit
ECDSA,ECDSA-P256,KeyGen,JDK,87.789,0.918,us/op
ECDSA,ECDSA-P256,Sign,JDK,111.252,0.592,us/op
ECDSA,ECDSA-P256,Verify,JDK,349.228,2.323,us/op
ML-DSA,ML-DSA-44,KeyGen,BC,55.707,0.588,us/op
ML-DSA,ML-DSA-44,KeyGen,JDK,36.520,0.222,us/op
ML-DSA,ML-DSA-44,Sign,BC,201.774,59.552,us/op
ML-DSA,ML-DSA-44,Sign,JDK,104.888,0.731,us/op
ML-DSA,ML-DSA-44,Verify,BC,61.583,0.281,us/op
ML-DSA,ML-DSA-44,Verify,JDK,30.489,0.046,us/op
ML-DSA,ML-DSA-65,KeyGen,BC,102.784,0.377,us/op
ML-DSA,ML-DSA-65,KeyGen,JDK,74.879,0.159,us/op
ML-DSA,ML-DSA-65,Sign,BC,471.172,181.707,us/op
ML-DSA,ML-DSA-65,Sign,JDK,168.587,0.981,us/op
ML-DSA,ML-DSA-65,Verify,BC,96.905,0.745,us/op
ML-DSA,ML-DSA-65,Verify,JDK,49.874,0.244,us/op
ML-DSA,ML-DSA-87,KeyGen,BC,146.007,1.054,us/op
ML-DSA,ML-DSA-87,KeyGen,JDK,94.039,0.522,us/op
ML-DSA,ML-DSA-87,Sign,BC,958.819,358.511,us/op
ML-DSA,ML-DSA-87,Sign,JDK,207.976,1.283,us/op
ML-DSA,ML-DSA-87,Verify,BC,157.889,1.555,us/op
ML-DSA,ML-DSA-87,Verify,JDK,81.562,0.403,us/op
ML-KEM,ML-KEM-1024,Decaps,BC,60.139,0.294,us/op
ML-KEM,ML-KEM-1024,Decaps,JDK,25.298,0.175,us/op
ML-KEM,ML-KEM-1024,Encaps,BC,49.626,0.157,us/op
ML-KEM,ML-KEM-1024,Encaps,JDK,19.749,0.070,us/op
ML-KEM,ML-KEM-1024,KeyGen,BC,67.786,15.099,us/op
ML-KEM,ML-KEM-1024,KeyGen,JDK,26.118,1.505,us/op
ML-KEM,ML-KEM-512,Decaps,BC,26.900,0.051,us/op
ML-KEM,ML-KEM-512,Decaps,JDK,11.394,0.054,us/op
ML-KEM,ML-KEM-512,Encaps,BC,21.028,0.176,us/op
ML-KEM,ML-KEM-512,Encaps,JDK,8.787,0.069,us/op
ML-KEM,ML-KEM-512,KeyGen,BC,19.758,0.446,us/op
ML-KEM,ML-KEM-512,KeyGen,JDK,9.831,0.063,us/op
ML-KEM,ML-KEM-768,Decaps,BC,41.510,0.184,us/op
ML-KEM,ML-KEM-768,Decaps,JDK,17.463,0.073,us/op
ML-KEM,ML-KEM-768,Encaps,BC,33.547,0.288,us/op
ML-KEM,ML-KEM-768,Encaps,JDK,13.548,0.099,us/op
ML-KEM,ML-KEM-768,KeyGen,BC,31.895,0.206,us/op
ML-KEM,ML-KEM-768,KeyGen,JDK,16.532,1.270,us/op
RSA,RSA-2048,KeyGen,JDK,91156.181,12377.130,us/op
RSA,RSA-2048,Sign,JDK,917.659,6.160,us/op
RSA,RSA-2048,Verify,JDK,37.885,0.391,us/op
X25519,X25519,KeyAgree,JDK,103.977,0.810,us/op
X25519,X25519,KeyGen,JDK,105.937,1.194,us/op
